# Spin-echo spectrometer data file
# Start Time 12:43:30 16/8/2023

# System Status at:  12:43:30 16/8/2023
sample description: Microscope
comment:  
nozzle pressure: unused
nozzle temperature: +40.003
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  1.1500E-07
crystal temperature: 99.99
manipulator desired alpha: 88.500000
manipulator desired beta: 0.000000
manipulator desired gamma: 0.250000
specular ga: 
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0.774985
Psourse 3.32951e-05
p303 0.237778
p3053 0.001716
wika1 0.982058
wika2 -0.010275
wika3 1.011535
comp 0.042801
Gas:He3

channeltron voltage: 

# scan_1d(1.000000,-0.100000,0.100000,801,3,1,1)
# Calibrated current I1
# solenoid:1.000000
# min_value:-0.100000
# max_value:0.100000
I1-I2-A:1.020597
I1-I2-B:-0.000640
# other_solenoid_current:0
# numsteps:801
# numloops:3
# count_time:1
# savemode:1
# angular data
# X flag position:10.000000
# Y flag position:10.000000
# loop number 1
8.023054e-10 -1.000000e-01 -1.000000e-01 0
7.967009e-10 -9.975000e-02 -9.975000e-02 0
7.994283e-10 -9.950000e-02 -9.950000e-02 0
8.063479e-10 -9.925000e-02 -9.925000e-02 0
8.062153e-10 -9.900000e-02 -9.900000e-02 0
8.027736e-10 -9.875000e-02 -9.875000e-02 0
8.108224e-10 -9.850000e-02 -9.850000e-02 0
8.112628e-10 -9.825000e-02 -9.825000e-02 0
8.116419e-10 -9.800000e-02 -9.800000e-02 0
8.113016e-10 -9.775000e-02 -9.775000e-02 0
7.974589e-10 -9.750000e-02 -9.750000e-02 0
7.998276e-10 -9.725000e-02 -9.725000e-02 0
8.007901e-10 -9.700000e-02 -9.700000e-02 0
8.026018e-10 -9.675000e-02 -9.675000e-02 0
8.068290e-10 -9.650000e-02 -9.650000e-02 0
8.025068e-10 -9.625000e-02 -9.625000e-02 0
8.048242e-10 -9.600000e-02 -9.600000e-02 0
8.070025e-10 -9.575000e-02 -9.575000e-02 0
8.191391e-10 -9.550000e-02 -9.550000e-02 0
8.165277e-10 -9.525000e-02 -9.525000e-02 0
8.045080e-10 -9.500000e-02 -9.500000e-02 0
8.155105e-10 -9.475000e-02 -9.475000e-02 0
8.074753e-10 -9.450000e-02 -9.450000e-02 0
7.942838e-10 -9.425000e-02 -9.425000e-02 0
8.168344e-10 -9.400000e-02 -9.400000e-02 0
8.158056e-10 -9.375000e-02 -9.375000e-02 0
8.035794e-10 -9.350000e-02 -9.350000e-02 0
8.235346e-10 -9.325000e-02 -9.325000e-02 0
8.075207e-10 -9.300000e-02 -9.300000e-02 0
8.183164e-10 -9.275000e-02 -9.275000e-02 0
8.153509e-10 -9.250000e-02 -9.250000e-02 0
8.195698e-10 -9.225000e-02 -9.225000e-02 0
7.998127e-10 -9.200000e-02 -9.200000e-02 0
8.164619e-10 -9.175000e-02 -9.175000e-02 0
7.956880e-10 -9.150000e-02 -9.150000e-02 0
8.198793e-10 -9.125000e-02 -9.125000e-02 0
8.156461e-10 -9.100000e-02 -9.100000e-02 0
8.047726e-10 -9.075000e-02 -9.075000e-02 0
8.214549e-10 -9.050000e-02 -9.050000e-02 0
7.951580e-10 -9.025000e-02 -9.025000e-02 0
8.152010e-10 -9.000000e-02 -9.000000e-02 0
8.098356e-10 -8.975000e-02 -8.975000e-02 0
8.224364e-10 -8.950000e-02 -8.950000e-02 0
8.062779e-10 -8.925000e-02 -8.925000e-02 0
8.083500e-10 -8.900000e-02 -8.900000e-02 0
8.084453e-10 -8.875000e-02 -8.875000e-02 0
8.106975e-10 -8.850000e-02 -8.850000e-02 0
8.144582e-10 -8.825000e-02 -8.825000e-02 0
8.315233e-10 -8.800000e-02 -8.800000e-02 0
8.117275e-10 -8.775000e-02 -8.775000e-02 0
8.203743e-10 -8.750000e-02 -8.750000e-02 0
8.133962e-10 -8.725000e-02 -8.725000e-02 0
8.106741e-10 -8.700000e-02 -8.700000e-02 0
8.189250e-10 -8.675000e-02 -8.675000e-02 0
8.089847e-10 -8.650000e-02 -8.650000e-02 0
8.033396e-10 -8.625000e-02 -8.625000e-02 0
8.212320e-10 -8.600000e-02 -8.600000e-02 0
8.163170e-10 -8.575000e-02 -8.575000e-02 0
8.188729e-10 -8.550000e-02 -8.550000e-02 0
8.185600e-10 -8.525000e-02 -8.525000e-02 0
8.216387e-10 -8.500000e-02 -8.500000e-02 0
8.039336e-10 -8.475000e-02 -8.475000e-02 0
8.137831e-10 -8.450000e-02 -8.450000e-02 0
8.076498e-10 -8.425000e-02 -8.425000e-02 0
8.152192e-10 -8.400000e-02 -8.400000e-02 0
8.022100e-10 -8.375000e-02 -8.375000e-02 0
8.006060e-10 -8.350000e-02 -8.350000e-02 0
8.153317e-10 -8.325000e-02 -8.325000e-02 0
8.101897e-10 -8.300000e-02 -8.300000e-02 0
8.189425e-10 -8.275000e-02 -8.275000e-02 0
8.178763e-10 -8.250000e-02 -8.250000e-02 0
8.172520e-10 -8.225000e-02 -8.225000e-02 0
8.204893e-10 -8.200000e-02 -8.200000e-02 0
8.153147e-10 -8.175000e-02 -8.175000e-02 0
8.040443e-10 -8.150000e-02 -8.150000e-02 0
8.307521e-10 -8.125000e-02 -8.125000e-02 0
8.038990e-10 -8.100000e-02 -8.100000e-02 0
8.044973e-10 -8.075000e-02 -8.075000e-02 0
8.129881e-10 -8.050000e-02 -8.050000e-02 0
8.053944e-10 -8.025000e-02 -8.025000e-02 0
8.043379e-10 -8.000000e-02 -8.000000e-02 0
8.223881e-10 -7.975000e-02 -7.975000e-02 0
8.189233e-10 -7.950000e-02 -7.950000e-02 0
8.046622e-10 -7.925000e-02 -7.925000e-02 0
8.047692e-10 -7.900000e-02 -7.900000e-02 0
